Id,Province,Zone,CountVoter,CountRealVoter
17cb83d6-79e9-42e7-8360-d995b2b92d7b,ชลบุรี,5,165579,111550
c1f097e5-ecc7-4d4f-8352-d4a49ddceda8,ชลบุรี,6,144927,97874
5d463f32-d49f-4b21-a634-f6cb0af78727,ชลบุรี,7,142425,86943
5d0c30f3-df54-4ab1-a7ba-4fb6dcb3d962,ชลบุรี,8,127763,82758
5bad0c28-49d1-4005-9207-5ab98cf1fdc8,ระยอง,1,128227,79367
20dc5fba-7e0b-41a2-bf80-69c0da70d30c,ระยอง,2,140880,98627
dc04e8da-189c-402d-8b71-1a3b2489992d,ระยอง,3,141213,98958
2b37f673-f64f-4bb2-bd50-3b41bb425b8c,ระยอง,4,134514,97025
1333959a-d8a1-4e82-8b23-1e12ffd9445e,จันทบุรี,1,127497,91268
af29f872-1e59-4808-a9e8-7e58662c9ef1,จันทบุรี,2,139567,95834
dbe214ed-5016-420a-80cc-af29dcb306b0,จันทบุรี,3,154871,104785
41ffc0a6-7a98-4698-b4ce-14fc023fb394,ตราด,1,172749,117884
52640e83-f5c9-42c0-91e9-58f2555cc52d,ฉะเชิงเทรา,1,141354,104217
6d6f7e54-ac9a-458a-b609-6139b3a1b9bf,ฉะเชิงเทรา,2,138161,103213
ce618ef3-c1aa-4265-b585-2ab41accd885,ฉะเชิงเทรา,3,128625,87761
f793080a-de8f-46d4-8466-b0456aea4aa6,ฉะเชิงเทรา,4,148921,105817
19910c8f-4d70-4074-af63-415df14e2881,ปราจีนบุรี,1,128381,96682
35b869f3-6daf-4f74-ad75-140e14753c6f,ปราจีนบุรี,2,130791,96819
0efb25ce-dd11-4f42-8452-0345d5993768,ปราจีนบุรี,3,123355,89577
75f3c587-9313-4707-9dff-40630dff2836,นครนายก,1,207138,148497
b68c1960-43f3-4071-b3c0-391bba6f5adf,สระแก้ว,1,142069,100804
91def766-b964-4fff-acdc-c0bed89e1391,สระแก้ว,2,141060,98292
3fa42efe-5792-4a75-9042-32d1774465e6,สระแก้ว,3,144806,98073
