ร้อยเอ็ด,7,153244
กาฬสินธุ์,1,154397
กาฬสินธุ์,2,156911
กาฬสินธุ์,3,156234
กาฬสินธุ์,4,157553
กาฬสินธุ์,5,160076
สกลนคร,1,152688
สกลนคร,2,139056
สกลนคร,3,147683
สกลนคร,4,153111
สกลนคร,5,151201
สกลนคร,6,150403
นครพนม,1,139077
นครพนม,2,137912
นครพนม,3,140086
นครพนม,4,140328
มุกดาหาร,1,136444
มุกดาหาร,2,135540
เชียงใหม่,1,189994
เชียงใหม่,2,142374
เชียงใหม่,3,150657
เชียงใหม่,4,154830
เชียงใหม่,5,151657
เชียงใหม่,6,96262
เชียงใหม่,7,119429
เชียงใหม่,8,164327
เชียงใหม่,9,140784
ลำพูน,1,168456
ลำพูน,2,167687
ลำปาง,1,156455
ลำปาง,2,142953
ลำปาง,3,160705
ลำปาง,4,164672
อุตรดิตถ์,1,195029
อุตรดิตถ์,2,176138
แพร่,1,196794
แพร่,2,177527
น่าน,1,139796
น่าน,2,131281
น่าน,3,118475
พะเยา,1,130139
พะเยา,2,129500
พะเยา,3,134298
เชียงราย,1,134853
เชียงราย,2,139931
เชียงราย,3,150311
เชียงราย,4,150315
เชียงราย,5,139552
เชียงราย,6,106724
เชียงราย,7,114957
แม่ฮ่องสอน,1,174412
นครสวรรค์,1,141704
นครสวรรค์,2,142618
นครสวรรค์,3,142228
นครสวรรค์,4,141236
นครสวรรค์,5,142566
นครสวรรค์,6,133969
อุทัยธานี,1,128340
อุทัยธานี,2,132400
กำแพงเพชร,1,143494
กำแพงเพชร,2,145172
กำแพงเพชร,3,138238
กำแพงเพชร,4,139761
ตาก,1,158935
ตาก,2,116421
ตาก,3,113751
สุโขทัย,1,158866
สุโขทัย,2,158367
สุโขทัย,3,165126
พิษณุโลก,1,139971
พิษณุโลก,2,143884
พิษณุโลก,3,141489
พิษณุโลก,4,137231
พิษณุโลก,5,130434
พิจิตร,1,145995
พิจิตร,2,144293
พิจิตร,3,143130
เพชรบูรณ์,1,157773
เพชรบูรณ์,2,158733
เพชรบูรณ์,3,156499
เพชรบูรณ์,4,155938
เพชรบูรณ์,5,155981
ราชบุรี,1,137428
ราชบุรี,2,130411
ราชบุรี,3,136325
ราชบุรี,4,137674
ราชบุรี,5,133968
กาญจนบุรี,1,148284
กาญจนบุรี,2,112148
กาญจนบุรี,3,147979
กาญจนบุรี,4,139007
กาญจนบุรี,5,83628
สุพรรณบุรี,1,174267
สุพรรณบุรี,2,166681
สุพรรณบุรี,3,172573
สุพรรณบุรี,4,163929
นครปฐม,1,144684
นครปฐม,2,142909
นครปฐม,3,145678
นครปฐม,4,147338
นครปฐม,5,143444
สมุทรสาคร,1,141508
สมุทรสาคร,2,138723
สมุทรสาคร,3,144883
สมุทรสงคราม,1,157769
เพชรบุรี,1,123818
เพชรบุรี,2,130786
เพชรบุรี,3,127715
ประจวบคีรีขันธ์,1,143954
ประจวบคีรีขันธ์,2,146057
ประจวบคีรีขันธ์,3,126931
นครศรีธรรมราช,1,148475
นครศรีธรรมราช,2,163995
นครศรีธรรมราช,3,151759
นครศรีธรรมราช,4,156411
นครศรีธรรมราช,5,146386
นครศรีธรรมราช,6,139455
นครศรีธรรมราช,7,150011
นครศรีธรรมราช,8,148575
กระบี่,1,170951
กระบี่,2,172261
พังงา,1,202831
ภูเก็ต,1,145051
ภูเก็ต,2,149655
สุราษฎร์ธานี,1,135072
สุราษฎร์ธานี,2,141642
สุราษฎร์ธานี,3,131956
สุราษฎร์ธานี,4,134583
สุราษฎร์ธานี,5,127355
สุราษฎร์ธานี,6,132870
ระนอง,1,135654
ชุมพร,1,133454
ชุมพร,2,132205
ชุมพร,3,131416
สงขลา,1,127989
สงขลา,2,140848
สงขลา,3,140302
สงขลา,4,126305
สงขลา,5,147869
สงขลา,6,126480
สงขลา,7,123697
สงขลา,8,134809
สตูล,1,110587
สตูล,2,121009
ตรัง,1,166246
ตรัง,2,160230
ตรัง,3,165657
พัทลุง,1,131751
พัทลุง,2,132753
พัทลุง,3,147267
ปัตตานี,1,131608
ปัตตานี,2,116660
ปัตตานี,3,120977
ปัตตานี,4,119267
ยะลา,1,121195
ยะลา,2,121865
ยะลา,3,121575
นราธิวาส,1,137964
นราธิวาส,2,131541
นราธิวาส,3,136833
นราธิวาส,4,145232
