Id,Province,Zone,Score,CountAuthority,PercentScore,PartyWin,Region
cca7dcbf-23ed-411b-bad8-d461aa702e94,ศรีสะเกษ,3,90496,144961,62.4278254151116,เพื่อไทย,NorthEast
00f88ae2-ec07-4367-950f-eafd0733fc04,ศรีสะเกษ,4,95185,145928,65.2273724028288,เพื่อไทย,NorthEast
65cf9623-4657-41cf-ba97-7482e3f94c5c,ศรีสะเกษ,5,90842,143310,63.3884585862815,เพื่อไทย,NorthEast
8088589c-e4bc-41b7-9e0a-1fc3474a0862,ศรีสะเกษ,6,88996,139462,63.8137987408756,เพื่อไทย,NorthEast
d5363124-23e5-4baa-9185-3ae7f72c2a25,ศรีสะเกษ,7,95196,143076,66.5352679694708,ภูมิใจไทย,NorthEast
79a3ea61-2412-4c54-9504-c49577c53ca8,ศรีสะเกษ,8,90427,139753,64.7048721673238,เพื่อไทย,NorthEast
2feecc82-15f9-4986-84fc-68fdc0851157,สกลนคร,1,105122,152688,68.8475846169968,เพื่อไทย,NorthEast
bfa3f348-1f43-4ba1-932b-417da4fee2aa,สกลนคร,2,83221,139056,59.8471119548959,เพื่อไทย,NorthEast
ea2862cc-5d81-4a74-b548-66a3cfac63f4,สกลนคร,3,97521,147683,66.0340052680403,เพื่อไทย,NorthEast
a8a8733b-073c-45f9-9ee9-37ddb87ba587,สกลนคร,4,93885,153111,61.318259302075,เพื่อไทย,NorthEast
0048cae0-116c-464f-9cf0-58e6344b34c0,สกลนคร,5,91925,151201,60.7965555783361,เพื่อไทย,NorthEast
4c59cddb-ffc8-4231-99eb-c4fd88ad7297,สกลนคร,6,96081,150403,63.8823693676323,เพื่อไทย,NorthEast
d08ce1ba-a453-41bb-afd9-0eaf0ca3ebf1,สุรินทร์,1,103071,153949,66.9513929937837,ภูมิใจไทย,NorthEast
cd5f7c39-955b-4434-95fe-42892b81159e,สุรินทร์,2,105093,155448,67.6065308012969,พลังประชารัฐ,NorthEast
9f0f58f4-f824-485e-9b29-d29bd34912ae,สุรินทร์,3,96353,156968,61.383848937363,เพื่อไทย,NorthEast
697f3f4b-61fb-4f22-8de7-0d7165aa342a,สุรินทร์,4,100460,156787,64.0741898244115,เพื่อไทย,NorthEast
99026ef4-67fe-4e95-8171-0ef7ca93eac2,สุรินทร์,5,95599,157052,60.8709217329292,เพื่อไทย,NorthEast
779934c5-6409-42d4-b17a-f75bbb961f5f,สุรินทร์,6,89026,150900,58.9966865473824,เพื่อไทย,NorthEast
c01fb1cb-13ec-4abf-ba72-30679dcb129e,สุรินทร์,7,92022,147477,62.3975263939462,เพื่อไทย,NorthEast
a365835d-b36d-49f3-880d-ef16733d80e5,หนองคาย,1,88183,136558,64.5754917324507,เพื่อไทย,NorthEast
c5f27202-95f6-4d8a-b9e9-2d4525508950,หนองคาย,2,78404,133133,58.8914844553942,เพื่อไทย,NorthEast
763d9185-a0ae-4bfe-92c6-4097124615e9,หนองคาย,3,83637,135790,61.5929008027101,เพื่อไทย,NorthEast
d971e50a-c5f6-4451-a940-d80f1ffd5bf3,หนองบัวลำภู,1,87861,136229,64.495078140484,เพื่อไทย,NorthEast
7ce66cbb-ebaf-4561-9fcb-7f448d253bb3,หนองบัวลำภู,2,83342,133612,62.3761338801904,เพื่อไทย,NorthEast
ec680a18-18bc-40e4-9565-ab25e812462d,หนองบัวลำภู,3,80602,130250,61.8825335892514,เพื่อไทย,NorthEast
fd5869f4-b8c7-448b-9ee1-5f7fb92d1c64,อำนาจเจริญ,1,97879,144406,67.7804246360954,เพื่อไทย,NorthEast
b3932226-9c30-47cb-a8c7-c3a14bdca232,อำนาจเจริญ,2,103170,153929,67.0244073566384,เพื่อไทย,NorthEast
8b42c93c-5c11-4402-9720-d4b2207a5667,อุดรธานี,1,96995,146021,66.4253771717767,เพื่อไทย,NorthEast
e2ed6876-e95c-4bef-bf4b-3168bac1df25,อุดรธานี,2,98969,156933,63.0644924904258,เพื่อไทย,NorthEast
64991019-cc2b-48e6-866d-6c54b82e0603,อุดรธานี,3,89870,152097,59.0872929775078,เพื่อไทย,NorthEast
d9016530-3d8b-4d4f-b4b7-35db8a7c3ead,อุดรธานี,4,93694,155130,60.3970863147038,เพื่อไทย,NorthEast
985c5ee5-b9af-4f1b-a2ca-87b3f38d9847,อุดรธานี,5,94157,153145,61.4822553788893,เพื่อไทย,NorthEast
7f62c192-7b21-4806-a47f-794f105bff9f,อุดรธานี,6,100067,164851,60.7014819443012,เพื่อไทย,NorthEast
df28adeb-578e-40d5-81e6-da7e580f3b3d,อุดรธานี,7,97787,151020,64.7510263541253,เพื่อไทย,NorthEast
b205fa8a-7a60-47cd-8007-185d1dfe1999,อุดรธานี,8,97087,153581,63.2155019175549,เพื่อไทย,NorthEast
5700bce9-3f35-499f-b1f3-02d519512fbd,อุบลราชธานี,1,118181,161052,73.3806472443683,เพื่อไทย,NorthEast
e791b588-c2b0-4987-aa96-463aa1469731,อุบลราชธานี,2,103240,155871,66.2342578157579,ประชาธิปัตย์,NorthEast
a2b918c7-860f-4426-a502-9437fa8f656d,อุบลราชธานี,3,104973,147286,71.2715397254321,เพื่อไทย,NorthEast
8a64e6d4-1f52-4888-bd80-fc6bf3db4899,อุบลราชธานี,4,85467,131152,65.1663718433573,เพื่อไทย,NorthEast
76282f55-ef35-4a42-87ef-54d015846c09,อุบลราชธานี,5,91291,150390,60.7028392845269,เพื่อไทย,NorthEast
f186fc36-1f7f-4eb6-8ccc-57acaadd5c55,อุบลราชธานี,6,85484,133775,63.9013268547935,พลังประชารัฐ,NorthEast
e083d419-ba28-4941-b92d-29efee96926c,อุบลราชธานี,7,88742,133340,66.5531723413829,เพื่อไทย,NorthEast
2f83cc77-2d45-4e2f-950b-b2b56ce5af09,อุบลราชธานี,8,94055,141296,66.5659325104745,ประชาธิปัตย์,NorthEast
3d1dd584-f898-4ee2-ae95-d7f9f8fc6171,อุบลราชธานี,9,87171,138248,63.0540767316706,เพื่อไทย,NorthEast
5b340589-d0fa-4b46-8c68-0fc0133a158a,อุบลราชธานี,10,101032,149147,67.739880788752,เพื่อไทย,NorthEast
1e91ded9-fa5e-42db-a6e8-0c245801204d,กาญจนบุรี,1,100348,148284,67.6728440020501,พลังประชารัฐ,West
cbcc14ad-4007-4b48-934e-2db9acf69cc1,กาญจนบุรี,2,81021,112148,72.244712344402,พลังประชารัฐ,West
cf7fc129-8db0-4dfe-a617-04b0045dfc1c,กาญจนบุรี,3,107972,147979,72.9644071118199,ภูมิใจไทย,West
e39ad085-6a1b-4b0d-9e81-81a5dfcc3a4b,กาญจนบุรี,4,95814,139007,68.9274640845425,พลังประชารัฐ,West
644d2178-7979-4770-b3e4-a15d79974bde,กาญจนบุรี,5,54369,83628,65.0129143349118,พลังประชารัฐ,West
3ece6d5a-cfe0-416f-a0b7-26b5a9a05bb6,ตาก,1,107487,158935,67.6295340862617,พลังประชารัฐ,West
99912e3f-1b75-4a2d-b064-2896e6203a1d,ตาก,2,79316,116421,68.1286022281204,ประชาธิปัตย์,West
00ad8b85-4f63-4d8e-b9a7-5af11bd4cca7,ตาก,3,79526,113751,69.9123524188798,พลังประชารัฐ,West
de0a3fe7-2b8f-409c-a90c-60340a967e25,ประจวบคีรีขันธ์,1,99629,143954,69.2089139586257,ประชาธิปัตย์,West
589e8baa-fa5d-43d3-b07a-285e8c479764,ประจวบคีรีขันธ์,2,101712,146057,69.6385657654204,เพื่อไทย,West
c5c088a6-d64e-49e9-b948-e6c4032c36d3,ประจวบคีรีขันธ์,3,88630,126931,69.8253381758593,ประชาธิปัตย์,West
1bdc220e-a4ba-4b19-947f-1fc8f018a1e1,เพชรบุรี,1,92174,123818,74.4431342777302,พลังประชารัฐ,West
de92ffba-111e-4d9b-ac16-e9d4a8f337c5,เพชรบุรี,2,97463,130786,74.5209731928494,พลังประชารัฐ,West
a20a3e1d-7ca0-4709-ac5b-b7eb5f2642ac,เพชรบุรี,3,96412,127715,75.489958109854,พลังประชารัฐ,West
4b53e0a9-230a-471f-8be3-3cde89ccf539,ราชบุรี,1,100965,137428,73.4675611956806,พลังประชารัฐ,West
0f608f96-b772-4e53-aa01-bdd60904247a,ราชบุรี,2,100038,130411,76.7097867511176,พลังประชารัฐ,West
3f715fe2-f018-4fad-ad83-53ea972e667c,ราชบุรี,3,101947,136325,74.782321657803,พลังประชารัฐ,West
27f0fea6-4288-401a-8d31-274dc520bcfc,ราชบุรี,4,102434,137674,74.403300550576,ประชาธิปัตย์,West
756fa2eb-93d7-42c5-b20f-b73173b9da9e,ราชบุรี,5,98742,133968,73.7056610533859,ภูมิใจไทย,West
10e66b7d-e136-481a-8a1a-55d45f42e23e,กระบี่,1,124873,170951,73.0460775309884,ประชาธิปัตย์,South
e5133018-4efe-42d6-beec-063432540d3c,กระบี่,2,130062,172261,75.5028706439647,ภูมิใจไทย,South
8f736d6e-2f9b-409c-9fa2-06235562e858,ชุมพร,1,95945,133454,71.8936862139764,ประชาธิปัตย์,South
42f598c7-4ceb-414c-8d34-88080320d6da,ชุมพร,2,96695,132205,73.1401989334745,ประชาธิปัตย์,South
1ab2bf11-0ab8-4bf8-b767-34ba33bc93c1,ชุมพร,3,95451,131416,72.6327083460157,รวมพลังประชาชาติไทย,South
97f24521-8486-4002-9bda-27e3a9ed69a8,นครศรีธรรมราช,1,99559,148475,67.0543862603132,พลังประชารัฐ,South
90993a1f-287a-4208-9d44-e7d41349c17f,นครศรีธรรมราช,2,105242,163995,64.1739077410897,พลังประชารัฐ,South
a08a46d4-0e85-49e9-9b09-f7c926a54be7,นครศรีธรรมราช,3,103831,151759,68.418347511515,ประชาธิปัตย์,South
f8c02463-9da2-4d30-b9a1-1bf6b986c290,นครศรีธรรมราช,4,102481,156411,65.5203278541791,ประชาธิปัตย์,South
